432637 Sector 0  16938 6.00147 0.545164
432637 Sector 1  16739.9 5.96765 0.578918
432637 Sector 2  16352.4 6.09516 0.634194
432637 Sector 3  13694.4 5.96456 0.765578
432637 Sector 4  10664 1.47067 0.755259
432637 Sector 5  17320.8 2.36976 0.541128
432637 Sector 6  36932.2 0.399942 1.17766
432637 Sector 7  26837.7 0.632688 1.21373
432639 Sector 0  48050.5 5.65818 0.52919
432639 Sector 1  49420.7 5.63915 0.526757
432639 Sector 2  49817.3 5.7831 0.54895
432639 Sector 3  43784.9 5.69123 0.639115
432639 Sector 4  36319.4 1.36138 0.601979
432639 Sector 5  49460.4 2.05344 0.517129
432639 Sector 6  57355.6 0.481152 1.12222
432639 Sector 7  159707 0.625049 1.26153
432640 Sector 0  31960.7 5.64092 0.503895
432640 Sector 1  31537.9 5.61828 0.51568
432640 Sector 2  30786.5 5.76296 0.539133
432640 Sector 3  26487.7 5.6651 0.609771
432640 Sector 4  29622.3 1.41094 0.6022
432640 Sector 5  32533.2 2.06645 0.509349
432640 Sector 6  37323.6 0.542217 1.12961
432640 Sector 7  109396 0.747522 1.30746
432641 Sector 0  14438.8 5.72806 0.50145
432641 Sector 1  14125.2 5.71097 0.517298
432641 Sector 2  13719.6 5.85152 0.54084
432641 Sector 3  12001.2 5.74158 0.596934
432641 Sector 4  13284.2 1.51275 0.604024
432641 Sector 5  14512.3 2.17319 0.518786
432641 Sector 6  16265.5 0.637918 1.12654
432641 Sector 7  47489.8 0.876122 1.36379
432684 Sector 0  29674 6.12988 0.524381
432684 Sector 1  27544.8 6.06965 0.550293
432684 Sector 2  26505.7 6.22948 0.581575
432684 Sector 3  21771.9 6.1635 0.681125
432684 Sector 4  24823.5 1.75327 0.643182
432684 Sector 5  28866.3 2.47637 0.534499
432684 Sector 6  27422.9 1.00511 1.12455
432684 Sector 7  83119.6 0.820029 1.23794
432691 Sector 0  161545 5.7993 0.505308
432691 Sector 1  151948 5.78791 0.518873
432691 Sector 2  146680 5.91486 0.54827
432691 Sector 3  124468 5.79287 0.61463
432691 Sector 4  134229 1.53925 0.635332
432691 Sector 5  155800 2.24241 0.520883
432691 Sector 6  162875 0.641033 1.11805
432691 Sector 7  262510 0.706665 1.19528
432692 Sector 0  167580 5.86457 0.509537
432692 Sector 1  158877 5.81289 0.515214
432692 Sector 2  151374 5.95424 0.558049
432692 Sector 3  128230 5.8464 0.625923
432692 Sector 4  138574 1.52663 0.641627
432692 Sector 5  163578 2.24256 0.517185
432692 Sector 6  178212 0.716738 1.13397
432692 Sector 7  465130 0.441127 1.3155
432693 Sector 0  154069 5.8731 0.504107
432693 Sector 1  144376 5.86158 0.520799
432693 Sector 2  138786 5.98152 0.552172
432693 Sector 3  116783 5.86428 0.623723
432693 Sector 4  126883 1.56754 0.636213
432693 Sector 5  149301 2.30071 0.510642
432693 Sector 6  170648 0.714206 1.15155
432693 Sector 7  479793 0.323412 1.3168
432694 Sector 0  115542 5.77174 0.502948
432694 Sector 1  108249 5.75963 0.51531
432694 Sector 2  104156 5.88474 0.546025
432694 Sector 3  89665 5.77162 0.606505
432694 Sector 4  97248.7 1.49036 0.629365
432694 Sector 5  110688 2.19966 0.518122
432694 Sector 6  126891 0.608292 1.15895
432694 Sector 7  331436 0.458626 1.29897
